cellid,userid,freq_updates
027697002570,-8791620045920390000,1
023622000814,-8791620045920390000,1
012704000853,-8791620045920390000,1
000177000865,-8791620045920390000,1
012165000871,-8791620045920390000,1
000674000864,-8791620045920390000,1
010512002502,-8791620045920390000,1
007567000870,-8791620045920390000,1
001039000870,-8791620045920390000,1
001333000866,-8791620045920390000,1
027771000814,-8791620045920390000,1
011266000871,-8791620045920390000,1
027678002570,-8791620045920390000,1
011833000833,-8791620045920390000,1
007235000870,-8791620045920390000,1
003522002829,-8788047365116670000,87
046781002866,-8788047365116670000,10
000761002829,-8788047365116670000,9
033951002862,-8788047365116670000,9
000511002866,-8788047365116670000,8
010277002866,-8788047365116670000,7
017241002861,-8788047365116670000,7
010699002861,-8788047365116670000,5
010187002866,-8788047365116670000,5
036463002866,-8788047365116670000,5
010181002866,-8788047365116670000,4
065101002861,-8788047365116670000,4
033941002862,-8788047365116670000,4
016643002864,-8788047365116670000,4
010188002866,-8788047365116670000,3
017912002861,-8788047365116670000,3
001621002829,-8788047365116670000,3
063172002866,-8788047365116670000,3
020499002860,-8788047365116670000,3
000762002829,-8788047365116670000,3
004322002864,-8788047365116670000,2
032548002864,-8788047365116670000,2
064473002866,-8788047365116670000,2
000193002812,-8788047365116670000,2
010182002866,-8788047365116670000,2
010897002866,-8788047365116670000,1
004323002864,-8788047365116670000,1
000091002835,-8788047365116670000,1
000251002835,-8788047365116670000,1
000402002866,-8788047365116670000,1
022789002864,-8788047365116670000,1
020341002861,-8788047365116670000,1
020377002861,-8788047365116670000,1
010008002861,-8788047365116670000,1
036461002866,-8788047365116670000,1
012452002862,-8788047365116670000,1
037992002866,-8788047365116670000,1
000512002866,-8788047365116670000,1
041001002866,-8788047365116670000,1
005401002861,-8788047365116670000,1
010851002861,-8788047365116670000,1
000702002835,-8788047365116670000,1
000752002862,-8788047365116670000,1
022788002864,-8788047365116670000,1
000263002835,-8788047365116670000,1
000793002864,-8788047365116670000,1
000731002866,-8788047365116670000,1
046802002866,-8788047365116670000,1
010659002862,-8788047365116670000,1
014918002860,-8786488335579330000,122
000452002813,-8786488335579330000,101
005043002813,-8786488335579330000,5
030299002860,-8786488335579330000,2
032356002860,-8786488335579330000,1
005042002813,-8786488335579330000,1
034471002860,-8786488335579330000,1
022607002863,-8786488335579330000,1
000222002813,-8786488335579330000,1
061101002860,-8786488335579330000,1
001922003609,-8781243274155660000,1
001909000866,-8736417529269560000,29
017333000841,-8736417529269560000,27
008181000864,-8736417529269560000,8
001903000866,-8736417529269560000,7
001906000866,-8736417529269560000,6
007522000871,-8736417529269560000,3
007339000866,-8736417529269560000,3
024731000805,-8736417529269560000,2
007565000870,-8736417529269560000,2
010623000866,-8736417529269560000,2
000182000866,-8736417529269560000,2
023701000865,-8736417529269560000,2
020972000805,-8736417529269560000,2
024461000891,-8736417529269560000,2
012141000871,-8736417529269560000,2
